,Route,Direction,Stop,Model,RMSE,MAE
0,41B,2,1639,lin_reg,42.94428714360102,32.49226827106509
1,41B,2,1639,decision Tree,4.790085517803063,0.937532771322245
2,41B,2,1639,random forest,25.800885859667684,15.731549707602339
0,51D,2,4495,lin_reg,104.32597671640409,79.58472680611237
1,51D,2,4495,decision Tree,0.0,0.0
2,51D,2,4495,random forest,69.11176397181057,42.4228473998295
0,15D,1,5130,lin_reg,24.749031941477266,19.69185520480005
1,15D,1,5130,decision Tree,0.0,0.0
2,15D,1,5130,random forest,13.213270913485093,9.308196721311475
0,40,1,49,lin_reg,57.18574378580299,44.62642171228167
1,40,1,49,decision Tree,26.65760198502419,12.274493293117946
2,40,1,49,random forest,35.147433459378725,23.94473879167924
0,40D,1,4548,lin_reg,24.67370511201025,16.833354230378355
1,40D,1,4548,decision Tree,5.167380089822303,1.546306699499451
2,40D,1,4548,random forest,14.55736674199934,8.55870504736452
0,27B,2,1636,lin_reg,26.365273047094927,15.56672110780058
1,27B,2,1636,decision Tree,9.798546391198492,4.028867183672876
2,27B,2,1636,random forest,17.184838114784323,8.777815432141857
0,18,2,4357,lin_reg,140.82304217316332,45.360233648038786
1,18,2,4357,decision Tree,2.8738030986812517,0.788376469907677
2,18,2,4357,random forest,83.56192739212682,21.53636130332765
0,27B,2,7484,lin_reg,209.58526695420193,166.66035804423265
1,27B,2,7484,decision Tree,0.0,0.0
2,27B,2,7484,random forest,222.79295512807593,111.38461538461539
0,15A,2,1165,lin_reg,38.63595774591472,24.299209012101805
1,15A,2,1165,decision Tree,7.306444473318678,2.3416656019116124
2,15A,2,1165,random forest,20.510310311908125,11.590747765302988
0,11,2,908,lin_reg,21.82097467650453,15.621803061375525
1,11,2,908,decision Tree,4.134044225770253,1.2181902481259521
2,11,2,908,random forest,13.021714240217332,7.9182982584216175
0,77X,2,2426,lin_reg,12.49231953241376,9.74963531223358
1,77X,2,2426,decision Tree,0.0,0.0
2,77X,2,2426,random forest,6.6035245095109945,4.266666666666667
0,140,1,7149,lin_reg,226.19120136448393,186.75614765655303
1,140,1,7149,decision Tree,0.0,0.0
2,140,1,7149,random forest,227.2048757301558,177.0
0,38A,1,1816,lin_reg,112.30065307582309,85.10766481999187
1,38A,1,1816,decision Tree,10.263926206053398,1.6926046561265071
2,38A,1,1816,random forest,56.69176009767814,34.54375222402366
0,65B,2,4884,lin_reg,30.12681056540044,13.00477634749757
1,65B,2,4884,decision Tree,2.541398412148962,0.543246529203976
2,65B,2,4884,random forest,18.01758770281392,6.401988554221717
0,77A,2,2186,lin_reg,30.89198828352556,23.050365022933114
1,77A,2,2186,decision Tree,8.162386615117091,2.711885001766413
2,77A,2,2186,random forest,18.984414524441135,12.462575344226925
0,47,2,7415,lin_reg,38.32215876650138,28.340435704743044
1,47,2,7415,decision Tree,2.273728736754434,0.3733141328561176
2,47,2,7415,random forest,21.26744512196376,12.844718142635875
0,7B,2,2084,lin_reg,41.42739361105618,34.73274603632122
1,7B,2,2084,decision Tree,0.0,0.0
2,7B,2,2084,random forest,23.796911264345912,15.743016759776536
0,45A,1,3204,lin_reg,16.86907372050659,11.944563490393639
1,45A,1,3204,decision Tree,5.948544453276397,2.473035249484562
