,Route,Direction,Stop,Max,Min
0,220,1,105,166.0,-38.0
0,41D,1,1624,3.0,-87.0
0,41B,2,3686,403.0,-90.0
0,33,2,6050,1242.0,-80.0
0,16C,2,1337,95.0,-25.0
0,66,1,2200,586.0,-37.0
0,25X,2,315,239.0,-489.0
0,25A,1,494,1582.0,-290.0
0,145,2,2062,380.0,-624.0
0,33,1,3759,357.0,-38.0
0,39A,2,759,568.0,-103.0
0,31,2,606,267.0,-410.0
0,15,2,7578,902.0,-225.0
0,39A,1,1808,524.0,-90.0
0,69,1,3434,812.0,-146.0
0,102,2,3653,307.0,-28.0
0,4,1,418,387.0,-110.0
0,84X,1,4956,398.0,-120.0
0,77A,1,2351,2055.0,-612.0
0,49,1,1140,1924.0,-101.0
0,14C,1,1193,74.0,-18.0
0,33D,1,2501,238.0,-31.0
0,1,1,355,1785.0,-48.0
0,77A,1,2094,552.0,-85.0
0,84A,2,3150,246.0,-72.0
0,15,1,7246,2193.0,-59.0
0,41C,2,3699,236.0,-1044.0
0,40,2,7510,367.0,-959.0
0,27X,2,2088,262.0,-71.0
0,13,1,1938,1256.0,-1091.0
0,44B,1,2826,1472.0,-61.0
0,56A,2,353,879.0,-64.0
0,14,2,2851,226.0,-61.0
0,31A,1,682,1362.0,-74.0
0,66,1,3886,950.0,-89.0
0,41B,2,5096,751.0,-42.0
0,27X,1,4696,48.0,-18.0
0,16C,1,214,184.0,-955.0
0,116,1,2011,254.0,-107.0
0,39A,1,772,1658.0,-471.0
0,32X,1,590,111.0,-49.0
0,4,2,482,224.0,-85.0
0,83A,2,155,146.0,-40.0
0,38A,1,7167,483.0,-40.0
0,15A,2,1165,548.0,-71.0
0,66,2,2810,2546.0,-76.0
0,70,1,4768,248.0,-18.0
0,25B,1,7239,338.0,-109.0
0,41,2,3686,240.0,-231.0
0,1,2,4451,560.0,-43.0
0,77X,2,2426,64.0,-28.0
0,83,1,1016,896.0,-197.0
0,39A,1,7047,1765.0,-368.0
0,46A,2,320,1633.0,-1199.0
0,41,2,1635,625.0,-857.0
0,238,1,7099,199.0,-74.0
0,37,2,1707,230.0,-60.0
0,25B,2,4619,327.0,-1063.0
